,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
2756,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,806.5 [514.8-1169.1],806.50810,514.8049,1169.086,,,
2757,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2007.0,2007,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,593.2 [374.8-875.7],593.20200,374.8414,875.6533,,,
2758,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,587.0 [351.8-903.2],587.01390,351.7787,903.163,,,
2759,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,595.2 [375.0-879.8],595.19670,375.0467,879.8123,,,
2760,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,589.0 [370.2-874.1],589.02490,370.1552,874.1161,,,
2761,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,433.8 [260.7-672.3],433.75670,260.7041,672.3416,,,
2762,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,444.6 [279.9-665.9],444.62830,279.9436,665.8798,,,
2763,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,441.1 [273.7-666.0],441.05520,273.7342,666.0408,,,
2764,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,807.6 [504.2-1191.6],807.62530,504.209,1191.576,,,
3166,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,592.6 [354.3-916.9],592.64410,354.2919,916.8845,,,
3167,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,417.6 [235.8-673.1],417.64550,235.8196,673.1062,,,
3168,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2009.0,2009,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,596.5 [377.0-878.5],596.53480,377.0326,878.4763,,,
3169,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2009.0,2009,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,808.6 [514.8-1172.7],808.56870,514.7703,1172.749,,,
3170,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,425.1 [244.9-675.4],425.09980,244.9264,675.442,,,
3171,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,446.0 [271.4-687.4],446.03670,271.4301,687.4296,,,
3172,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,807.9 [509.8-1183.5],807.93220,509.7937,1183.485,,,
3173,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,440.1 [270.2-669.7],440.05740,270.2034,669.6738,,,
3174,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,431.4 [255.7-675.0],431.35540,255.7478,674.9972,,,
3175,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,803.6 [491.9-1203.8],803.58240,491.8931,1203.764,,,
3176,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,785.9 [480.4-1177.2],785.89900,480.4364,1177.157,,,
3177,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,583.6 [345.4-903.9],583.58970,345.3778,903.9221,,,
3178,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,448.9 [271.3-696.0],448.91780,271.259,696.003,,,
