,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
400,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,6000 [3600-9000],6000.00000,3600.0,9000.0,,,
401,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2020.0,2020,WPR,Western Pacific,,,2020,2020,,,VNM,Viet Nam,5600 [3600-8100],5600.00000,3600.0,8100.0,,,
402,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,7900 [3600-14000],7900.00000,3600.0,14000.0,,,
403,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,5900 [3700-8600],5900.00000,3700.0,8600.0,,,
405,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2009.0,2009,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,14000 [3900-31000],14000.00000,3900.0,31000.0,,,
406,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,14000 [3900-31000],14000.00000,3900.0,31000.0,,,
407,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,6500 [4000-9700],6500.00000,4000.0,9700.0,,,
408,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,14000 [4000-30000],14000.00000,4000.0,30000.0,,,
409,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2007.0,2007,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,9400 [4200-17000],9400.00000,4200.0,17000.0,,,
410,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,7900 [4600-12000],7900.00000,4600.0,12000.0,,,
412,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,9800 [5600-15000],9800.00000,5600.0,15000.0,,,
416,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,12000 [6600-19000],12000.00000,6600.0,19000.0,,,
418,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,14000 [7400-22000],14000.00000,7400.0,22000.0,,,
