GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH2,HIV/AIDS,,0,0.00009,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH5,Tetanus,,0,0.00785,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00424,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.3,0.25509,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0,0.01431,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH11,Birth asphyxia and birth trauma,,0,0.00358,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.04338,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0,0.03537,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.00557,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0.1,0.11535,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00397,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH6,Measles,,0.1,0.05939,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01618,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.2,0.15603,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.08201,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.03727,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.2,0.19187,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.00029,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH17,Injuries,,0,0.01365,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH2,HIV/AIDS,,0,0.00015,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00012,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0.1,0.10563,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.02696,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00317,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.3,0.25525,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0,0.01565,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH11,Birth asphyxia and birth trauma,,0,0.00391,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.2,0.17383,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.05493,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0,0.04086,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.00892,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0.1,0.10576,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.00435,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.09122,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.4,0.40755,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.2,0.15142,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.08090,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.04165,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.2,0.20052,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.00036,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.02120,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.21121,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00020,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.02750,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.02821,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00155,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.3,0.26220,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.04033,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.04689,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.2,0.18937,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.05990,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0,0.04699,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.01167,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00398,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.08995,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.4,0.40585,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.14766,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.07817,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,DAYS0-27,0-27 days,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.04434,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.12176,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0.1,0.08539,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.02424,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.20317,,,,,
